Fecha,Año,País,Estado,Sexo,Edad,Provocado,Fatal,Hora_limpia,Momento_día,Especie_grupo,Herida
2022-09-06,2022,BAHAMAS,,F,58,,True,14,Tarde,Toro,FATAL
2022-08-17,2022,AUSTRALIA,New South Wales,M,,,False,,,Blanco,"No injury, kayak bitten in half"
2022-08-15,2022,AUSTRALIA,Westerm Australia,M,17,,False,,,Blanco,Lacerations to lower legs
2022-08-13,2022,USA,Florida,M,10,,False,16,Tarde,Toro,"Lower left leg severely bitten, necessitating surgical amputation"
2022-07-13,2022,USA,New York,M,41,,False,7,Mañana,Tigre,Two-inch laceration to leg
2022-07-01,2022,EGYPT,"Hurghada, Red Sea Governorate",F,,,True,,,Tigre,FATAL
2022-07-01,2022,EGYPT,"Hurghada, Red Sea Governorate",F,68,,True,,,Tigre,FATAL
2022-06-24,2022,JAMAICA,,M,,,False,,,Tigre,Right arm severed
2022-06-22,2022,USA,California,M,62,,False,10,Mañana,Blanco,Stomach and leg injuries including a broken femur
2022-05-20,2022,AUSTRALIA,Western Australia,M,20,,False,,,Toro,No Injury
2022-04-30,2022,FRENCH POLYNESIA,Tahiti,M,22,,False,,,Tigre,Cut to knee
2022-03-18,2022,COLUMBIA,Isla De San Andres,M,56,,True,,,Tigre,FATAL
2022-03-15,2022,AUSTRALIA,New South Wales,M,32,,False,15,Tarde,Toro,Lacerations and punctures to leg and foot
2022-02-26,2022,USA,California,M,42,,True,11,Mañana,Blanco,FATAL
2022-02-17,2022,AUSTRALIA,Queensland,M,,,False,,,Tigre,Lacerations to left thigh
2022-02-08,2022,COSTA RICA,Guanacoste,F,50,,,,,Toro,Right forearm and left hand injured
2022-02-05,2022,AUSTRALIA,Western Australia,F,20,,False,11,Mañana,Blanco,Torso bitten
2021-12-24,2021,USA,Los Angeles,M,31,,True,10,Mañana,Blanco,Fatal bite to chest
,2021,AUSTRALIA,Queensland,M,24,,False,10,Mañana,Toro,Laceration to leg
2021-08-21,2021,USA,Florida,M,41,,False,6,Mañana,Toro,Left ankle and foot bitten
2021-07-23,2021,THAILAND,Chanthaburi Province,M,55,,False,,,Toro,Lacerations to lower right leg PROVOKED INCIDENT
